               epoch,      train/box_loss,      train/cls_loss,      train/dfl_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/cls_loss,        val/dfl_loss,               x/lr0,               x/lr1,               x/lr2
                   0,             0.70872,              1.9154,              1.2171,             0.93499,             0.86567,             0.94536,             0.83247,             0.40291,             0.64463,             0.94739,              0.0838,              0.0018,              0.0018
                   1,             0.58539,             0.72922,              1.1182,              0.9475,             0.92537,             0.98268,             0.84848,             0.44218,             0.46006,             0.97838,            0.066682,           0.0036817,           0.0036817
                   2,             0.60187,             0.62434,              1.1166,             0.92015,             0.86005,             0.94016,             0.76634,             0.67855,             0.94594,              1.1508,            0.049545,           0.0055446,           0.0055446
                   3,             0.60453,             0.59814,              1.1005,             0.93719,             0.89085,             0.96672,              0.7806,             0.62443,             0.69136,              1.0888,            0.032389,           0.0073886,           0.0073886
                   4,             0.69473,              0.6798,              1.1396,             0.94703,              0.8806,             0.96641,             0.78431,             0.58647,             0.69445,              1.0979,            0.015214,           0.0092139,           0.0092139
                   5,             0.74956,              0.7089,              1.1567,             0.91262,              0.9354,             0.96901,             0.74997,             0.67672,             0.77548,              1.1326,           0.0097525,           0.0097525,           0.0097525
                   6,             0.81414,             0.75656,               1.224,             0.88482,              0.8209,             0.92846,             0.67674,             0.81755,              1.3904,              1.4164,           0.0097525,           0.0097525,           0.0097525
                   7,             0.75849,             0.68817,              1.1832,             0.95152,              0.9403,             0.97682,             0.73424,             0.70635,             0.91355,              1.2205,            0.009703,            0.009703,            0.009703
                   8,             0.78052,             0.66704,              1.1983,             0.82126,             0.89153,              0.9254,             0.68588,             0.83186,              1.3862,               1.289,           0.0096535,           0.0096535,           0.0096535
                   9,             0.77258,             0.73203,              1.2069,             0.86445,             0.86567,             0.92686,             0.67525,             0.86861,              1.2826,              1.5289,            0.009604,            0.009604,            0.009604
                  10,             0.81159,             0.73379,              1.2244,             0.78019,             0.55224,             0.67902,             0.35049,              1.4295,              1.8936,              3.0004,           0.0095545,           0.0095545,           0.0095545
                  11,             0.78556,             0.71079,              1.2226,             0.90654,              0.8687,             0.94383,             0.73954,             0.73233,             0.74687,               1.267,            0.009505,            0.009505,            0.009505
                  12,             0.78619,             0.69117,              1.2311,             0.84044,             0.92537,             0.91662,             0.66611,             0.87744,              1.0331,              1.4069,           0.0094555,           0.0094555,           0.0094555
                  13,              0.7799,              0.6906,              1.2176,             0.81607,             0.80597,               0.881,             0.61803,             0.96301,              2.1113,              1.4939,            0.009406,            0.009406,            0.009406
                  14,             0.81818,             0.71383,              1.2585,             0.75107,             0.81063,             0.85577,             0.57253,               1.043,              2.4728,              1.5758,           0.0093565,           0.0093565,           0.0093565
                  15,             0.79333,             0.68797,              1.2228,             0.94484,             0.92537,             0.96719,             0.72085,             0.76144,             0.96632,              1.2678,            0.009307,            0.009307,            0.009307
                  16,             0.81168,             0.69324,              1.2442,             0.92708,             0.83582,             0.94719,             0.71717,             0.74033,             0.84246,              1.2274,           0.0092575,           0.0092575,           0.0092575
                  17,              0.7865,              0.6895,              1.2465,             0.87264,             0.85075,             0.91937,             0.66035,             0.92858,              1.1169,              1.4306,            0.009208,            0.009208,            0.009208
                  18,              0.8103,             0.70901,              1.2702,             0.92905,             0.92537,             0.96715,             0.72582,             0.79153,             0.68421,              1.3041,           0.0091585,           0.0091585,           0.0091585
                  19,             0.77689,             0.65544,              1.2285,             0.83862,             0.85075,             0.89141,             0.58807,               1.015,              1.0524,              1.5377,            0.009109,            0.009109,            0.009109
                  20,             0.78808,             0.69505,              1.2679,             0.83176,             0.83582,              0.9119,             0.62656,              0.9158,              1.3665,              1.5117,           0.0090595,           0.0090595,           0.0090595
                  21,             0.80295,             0.67859,              1.2389,              0.9362,             0.87617,             0.95468,             0.65795,             0.87229,              1.3435,                1.42,             0.00901,             0.00901,             0.00901
                  22,             0.81221,             0.70355,              1.2564,             0.92204,             0.88269,             0.96293,             0.72144,             0.80452,              0.7965,              1.3109,           0.0089605,           0.0089605,           0.0089605
                  23,             0.75745,             0.64967,              1.2147,             0.94119,             0.95542,             0.97568,             0.70716,               0.723,             0.68636,              1.2937,            0.008911,            0.008911,            0.008911
                  24,             0.76955,             0.64428,              1.2062,             0.88793,             0.86567,             0.93611,             0.69562,             0.70851,              0.7084,              1.2023,           0.0088615,           0.0088615,           0.0088615
                  25,             0.80306,             0.71018,              1.2488,               0.859,             0.90931,             0.95281,             0.69264,              0.7843,             0.72356,              1.2201,            0.008812,            0.008812,            0.008812
                  26,             0.81896,             0.69302,              1.2737,             0.85836,              0.8209,             0.90832,              0.6596,             0.76041,             0.98178,              1.2038,           0.0087625,           0.0087625,           0.0087625
                  27,             0.78587,              0.6724,               1.242,             0.89442,             0.91045,             0.93703,              0.6904,              0.7631,             0.67856,               1.261,            0.008713,            0.008713,            0.008713
                  28,             0.78349,             0.69458,              1.2377,             0.84089,             0.94664,              0.9358,             0.70936,             0.74289,             0.61679,              1.2363,           0.0086635,           0.0086635,           0.0086635
                  29,             0.75763,              0.6519,              1.1956,             0.93557,             0.86567,              0.9392,             0.71987,             0.72861,              0.7296,              1.2325,            0.008614,            0.008614,            0.008614
                  30,             0.80414,             0.66577,              1.2226,             0.96657,             0.89552,             0.94843,             0.72099,             0.77161,             0.62616,               1.279,           0.0085645,           0.0085645,           0.0085645
                  31,             0.77829,             0.65478,              1.2391,             0.94918,             0.79104,             0.92446,             0.69051,              0.7831,             0.65492,              1.3119,            0.008515,            0.008515,            0.008515
                  32,             0.76764,             0.61811,              1.1933,             0.84363,             0.96634,             0.94986,              0.7617,             0.66673,             0.76201,              1.1517,           0.0084655,           0.0084655,           0.0084655
                  33,             0.75547,             0.60654,              1.1846,             0.82581,             0.92537,             0.94699,             0.71904,             0.76525,             0.72474,               1.289,            0.008416,            0.008416,            0.008416
                  34,             0.74211,             0.59944,              1.1855,             0.94655,             0.85075,             0.95988,             0.67543,             0.81822,             0.68979,              1.3318,           0.0083665,           0.0083665,           0.0083665
                  35,             0.76526,             0.63563,                1.21,             0.96731,             0.92537,             0.97907,             0.77828,             0.64872,             0.59897,              1.1998,            0.008317,            0.008317,            0.008317
                  36,             0.76398,             0.62112,              1.2022,             0.91015,             0.92537,             0.96036,             0.73915,             0.70557,             0.67203,              1.1712,           0.0082675,           0.0082675,           0.0082675
                  37,             0.73151,             0.62961,              1.1976,             0.96829,             0.91142,              0.9727,             0.73959,             0.84289,             0.88952,              1.3038,            0.008218,            0.008218,            0.008218
                  38,             0.72919,             0.60121,              1.1949,             0.95313,             0.92537,             0.97749,             0.76494,             0.71708,             0.55653,              1.1459,           0.0081685,           0.0081685,           0.0081685
                  39,             0.71549,             0.57539,               1.183,             0.90872,             0.95522,             0.96912,             0.75756,             0.69172,             0.52185,              1.1734,            0.008119,            0.008119,            0.008119
                  40,             0.68927,             0.56926,               1.171,             0.95469,             0.94341,               0.973,             0.75819,             0.70445,             0.47586,              1.2423,           0.0080695,           0.0080695,           0.0080695
                  41,             0.70329,             0.56394,              1.1662,             0.95305,             0.90899,             0.96094,             0.69857,             0.81743,              0.5277,              1.3301,             0.00802,             0.00802,             0.00802
                  42,             0.75695,             0.61931,              1.2226,             0.92539,             0.92562,             0.96199,             0.76462,             0.70104,             0.44534,              1.1758,           0.0079705,           0.0079705,           0.0079705
                  43,             0.73062,             0.59777,              1.1826,              0.9105,             0.92537,             0.96384,             0.76645,             0.73164,             0.48789,              1.2598,            0.007921,            0.007921,            0.007921
                  44,             0.67734,             0.56133,              1.1555,             0.94069,             0.94688,              0.9681,             0.75203,             0.64708,             0.50011,              1.1028,           0.0078715,           0.0078715,           0.0078715
                  45,             0.70134,             0.60507,              1.1973,             0.95401,             0.91045,             0.97535,              0.7917,             0.58537,             0.43356,              1.0836,            0.007822,            0.007822,            0.007822
                  46,             0.73973,             0.59271,              1.1797,             0.95486,             0.94728,             0.98316,             0.77206,             0.66568,             0.46739,              1.1817,           0.0077725,           0.0077725,           0.0077725
                  47,             0.69162,             0.59162,              1.1741,             0.96822,             0.90954,             0.97437,              0.7621,             0.68119,             0.46486,              1.2263,            0.007723,            0.007723,            0.007723
                  48,             0.69972,             0.58272,              1.1763,             0.92862,             0.86567,             0.94376,             0.71537,             0.74695,             0.72088,              1.3067,           0.0076735,           0.0076735,           0.0076735
                  49,             0.68949,             0.60027,              1.1903,             0.90429,             0.84617,             0.92288,             0.65012,               1.018,             0.99794,               1.578,            0.007624,            0.007624,            0.007624
                  50,              0.6943,             0.56673,              1.1813,              0.9675,             0.88856,             0.96574,             0.72531,             0.72649,             0.55558,              1.2462,           0.0075745,           0.0075745,           0.0075745
                  51,             0.69632,             0.59012,              1.1626,             0.91092,             0.89552,             0.95388,             0.75286,             0.80787,             0.66501,              1.3242,            0.007525,            0.007525,            0.007525
