./Vasu/LLM/S20/train_get2.py:372: UserWarning: torch.nn.utils.clip_grad_norm is now deprecated in favor of torch.nn.utils.clip_grad_norm_.
  norm = torch.nn.utils.clip_grad_norm(model.parameters(), 1.0)
using device: cuda
loaded 338025 tokens
1 epoch = 41 batches
num decayed parameter tensors: 50, with 124,354,560 parameters
num non-decayed parameter tensors: 98, with 121,344 parameters
using fused AdamW: True
step0 | loss: 10.957542419433594 | dt: 3495.96ms | tok/sec:  2343.28 | norm: 7.37
step1 | loss: 9.851263046264648 | dt: 2920.86ms | tok/sec:  2804.66 | norm: 4.93
step2 | loss: 9.092670440673828 | dt: 2875.89ms | tok/sec:  2848.51 | norm: 5.98
step3 | loss: 9.112577438354492 | dt: 2875.31ms | tok/sec:  2849.08 | norm: 4.87
step4 | loss: 8.778425216674805 | dt: 2892.11ms | tok/sec:  2832.54 | norm: 3.79
step5 | loss: 8.61740493774414 | dt: 2887.05ms | tok/sec:  2837.50 | norm: 2.09
step6 | loss: 8.513143539428711 | dt: 2886.82ms | tok/sec:  2837.72 | norm: 2.25
step7 | loss: 8.101612091064453 | dt: 2881.58ms | tok/sec:  2842.89 | norm: 2.59
step8 | loss: 7.663363456726074 | dt: 2895.11ms | tok/sec:  2829.60 | norm: 2.63
step9 | loss: 7.442068576812744 | dt: 2915.73ms | tok/sec:  2809.59 | norm: 2.16
step10 | loss: 7.21943473815918 | dt: 2922.28ms | tok/sec:  2803.29 | norm: 1.61
step11 | loss: 6.954685688018799 | dt: 2928.94ms | tok/sec:  2796.91 | norm: 1.24
step12 | loss: 6.889858245849609 | dt: 2928.82ms | tok/sec:  2797.03 | norm: 1.76
step13 | loss: 6.665809631347656 | dt: 2944.41ms | tok/sec:  2782.22 | norm: 1.24
step14 | loss: 6.544090270996094 | dt: 2948.12ms | tok/sec:  2778.72 | norm: 1.16
step15 | loss: 6.341080665588379 | dt: 2955.16ms | tok/sec:  2772.10 | norm: 0.86
step16 | loss: 6.4424896240234375 | dt: 2960.23ms | tok/sec:  2767.35 | norm: 1.21
step17 | loss: 6.5064005851745605 | dt: 2968.68ms | tok/sec:  2759.47 | norm: 1.19
step18 | loss: 6.4483537673950195 | dt: 2969.08ms | tok/sec:  2759.11 | norm: 1.21
step19 | loss: 6.23847770690918 | dt: 2974.30ms | tok/sec:  2754.26 | norm: 1.19
step20 | loss: 6.33464241027832 | dt: 2990.59ms | tok/sec:  2739.26 | norm: 1.31
step21 | loss: 6.188023567199707 | dt: 2960.42ms | tok/sec:  2767.17 | norm: 1.51
step22 | loss: 6.278443813323975 | dt: 2980.28ms | tok/sec:  2748.73 | norm: 1.41
step23 | loss: 6.111603260040283 | dt: 2983.60ms | tok/sec:  2745.67 | norm: 0.90
step24 | loss: 6.102006912231445 | dt: 2984.98ms | tok/sec:  2744.41 | norm: 1.14
step25 | loss: 6.137030124664307 | dt: 2991.86ms | tok/sec:  2738.10 | norm: 1.05
step26 | loss: 6.510275840759277 | dt: 2994.11ms | tok/sec:  2736.04 | norm: 1.49
step27 | loss: 6.359976768493652 | dt: 2992.28ms | tok/sec:  2737.71 | norm: 2.11
step28 | loss: 6.587363243103027 | dt: 2998.87ms | tok/sec:  2731.69 | norm: 1.09
step29 | loss: 6.3624162673950195 | dt: 3004.39ms | tok/sec:  2726.68 | norm: 2.25
step30 | loss: 6.2921600341796875 | dt: 3009.36ms | tok/sec:  2722.17 | norm: 1.83
step31 | loss: 6.3087263107299805 | dt: 3009.70ms | tok/sec:  2721.86 | norm: 1.23
step32 | loss: 6.195677757263184 | dt: 3018.39ms | tok/sec:  2714.03 | norm: 1.33
step33 | loss: 6.423155307769775 | dt: 3011.35ms | tok/sec:  2720.37 | norm: 1.03
step34 | loss: 6.280756950378418 | dt: 3011.58ms | tok/sec:  2720.17 | norm: 1.41
step35 | loss: 6.166843414306641 | dt: 3016.10ms | tok/sec:  2716.09 | norm: 0.98
step36 | loss: 6.218437194824219 | dt: 3028.95ms | tok/sec:  2704.57 | norm: 1.24
step37 | loss: 6.22515344619751 | dt: 3013.12ms | tok/sec:  2718.78 | norm: 0.93
step38 | loss: 5.954384803771973 | dt: 3016.89ms | tok/sec:  2715.38 | norm: 1.00
step39 | loss: 5.945484161376953 | dt: 3032.78ms | tok/sec:  2701.15 | norm: 1.26
step40 | loss: 6.333816051483154 | dt: 3030.01ms | tok/sec:  2703.62 | norm: 1.26
step41 | loss: 6.208174705505371 | dt: 3032.71ms | tok/sec:  2701.22 | norm: 1.39
step42 | loss: 6.238203048706055 | dt: 3030.77ms | tok/sec:  2702.94 | norm: 1.28
step43 | loss: 5.926088809967041 | dt: 3032.59ms | tok/sec:  2701.32 | norm: 1.50
